id,priority,category,catalog,po,line,source,translation,proposal,reason
F040,P3,Stavning,locale-langpack/dpkg-dev,po/locale-langpack/dpkg-dev.po,949,"Options:
  -l<library-path>         add directory to private shared library search list.
  -p<package>              generate symbols file for package.
  -P<package-build-dir>    temporary build directory instead of debian/tmp.
  -e<library>              explicitly list libraries to scan.
  -v<version>              version of the packages (defaults to
                           version extracted from debian/changelog).
  -c<level>                compare generated symbols file with the reference
                           template in the debian directory and fail if
                           difference is too important; level goes from 0 for
                           no check, to 4 for all checks (default level is 1).
  -q                       keep quiet and never emit any warnings or
                           generate a diff between generated symbols
                           file and the reference template.
  -I<file>                 force usage of <file> as reference symbols
                           file instead of the default file.
  -O[<file>]               write to stdout (or <file>), not .../DEBIAN/symbols.
  -t                       write in template mode (tags are not
                           processed and included in output).
  -V                       verbose output; write deprecated symbols and pattern
                           matching symbols as comments (in template mode only).
  -a<arch>                 assume <arch> as host architecture when processing
                           symbol files.
  -d                       display debug information during work.
  -?, --help               show this help message.
      --version            show the version.
","Flaggor:
  -l<bibliotekssökväg>     lägg till katalog till privat söklista för delade bibliotek.
  -p<paket>                skapar symbolfil för paket.
  -P<paketbyggkatalog>     temporär byggkatalog istället för debian/tmp.
  -e<bibliotek>            explicit lista över bibliotek att söka i.
  -v<version>              version på paketet (förval är versionen
                           som utläses ur debian/changelog).
  -c<nivå>                 jämför genererade symbolfiler med referensfilen
                           i katalogen ”debian” och misslyckas om skillnaderna
                           är för stora; nivå går från 0 för ingen test, till
                           4 för alla tester (förvald nivå är 1).
  -q                       var tyst och skriv aldrig ut några varningar eller
                           generera en diff mellan genererad symbolfil och
                           referensfilen.
  -I<fil>                  tvinga användning av <fil> som symbolreferensfil
                           istället för standardfilen.
  -O[<fil>]                skriv till standard ut/<fil>, inte .../DEBIAN/symbols.
  -t                       skriv i malläge (taggar behandlas inte och
                           tas med i utdata).
  -V                       pratsam utdata; skriv föråldrade symboler och
                           mönster som motsvarar symboler som kommentarer
                           (endast i mall-läget).
  -a<ark>                  förutsätt <ark> som värdarkitektur vid behandling
                           av symbofilen.
  -d                       visa felsökningsinformation under körnng.
  -?, --help               visa detta hjälpmeddelande.
      --version            visa versionsnummer.
","Flaggor:
  -l<bibliotekssökväg>     lägg till katalog till privat söklista för delade bibliotek.
  -p<paket>                skapar symbolfil för paket.
  -P<paketbyggkatalog>     temporär byggkatalog istället för debian/tmp.
  -e<bibliotek>            explicit lista över bibliotek att söka i.
  -v<version>              version på paketet (förval är versionen
                           som utläses ur debian/changelog).
  -c<nivå>                 jämför genererade symbolfiler med referensfilen
                           i katalogen ”debian” och misslyckas om skillnaderna
                           är för stora; nivå går från 0 för ingen test, till
                           4 för alla tester (förvald nivå är 1).
  -q                       var tyst och skriv aldrig ut några varningar eller
                           generera en diff mellan genererad symbolfil och
                           referensfilen.
  -I<fil>                  tvinga användning av <fil> som symbolreferensfil
                           istället för standardfilen.
  -O[<fil>]                skriv till standard ut/<fil>, inte .../DEBIAN/symbols.
  -t                       skriv i malläge (taggar behandlas inte och
                           tas med i utdata).
  -V                       pratsam utdata; skriv föråldrade symboler och
                           mönster som motsvarar symboler som kommentarer
                           (endast i mall-läget).
  -a<ark>                  förutsätt <ark> som värdarkitektur vid behandling
                           av symbofilen.
  -d                       visa felsökningsinformation under körning.
  -?, --help               visa detta hjälpmeddelande.
      --version            visa versionsnummer.
",Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F041,P3,Stavning,locale-langpack/dpkg-dev,po/locale-langpack/dpkg-dev.po,1649,changelog format %s is not a Dpkg::Changelog class,ändringsloggformatet %s är inte en Dpkg::Changelog-klasss,ändringsloggformatet %s är inte en Dpkg::Changelog-klass,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F042,P3,Stavning,locale-langpack/glance,po/locale-langpack/glance.po,1398,"Some resource types allow more than one key / value pair per instance.  For example, Cinder allows user and image metadata on volumes. Only the image properties metadata is evaluated by Nova (scheduling or drivers). This property allows a namespace target to remove the ambiguity.",Vissa resurstyper tillåter fler än ett nyckel-/värdepar per instans. Till exempel Cinder tilllåter användar- och bildmetadata på volymer. Bara bildegenskapers metadata utvärderas av Nova (schemaläggning eller drivrutiner). Denna egenskap tillåter en namnrymd att ta bort tvetydigheten.,Vissa resurstyper tillåter fler än ett nyckel-/värdepar per instans. Till exempel Cinder tillåter användar- och bildmetadata på volymer. Bara bildegenskapers metadata utvärderas av Nova (schemaläggning eller drivrutiner). Denna egenskap tillåter en namnrymd att ta bort tvetydigheten.,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F043,P3,Stavning,locale-langpack/mutt,po/locale-langpack/mutt.po,1298,Failure to open file to parse headers.,Misslyckades med att öpppna fil för att tolka huvuden.,Misslyckades med att öppna fil för att tolka huvuden.,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F044,P3,Stavning,locale-langpack/unity-control-center,po/locale-langpack/unity-control-center.po,343,Allow different sources for each window,Tilllåt olika källor för var fönster,Tillåt olika källor för var fönster,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F045,P3,Stavning,locale-langpack/unity-control-center,po/locale-langpack/unity-control-center.po,349,Allow louder than 100% (may distort sound),Tilllåt högre än 100% (kan förvränga ljudet),Tillåt högre än 100% (kan förvränga ljudet),Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F046,P3,Stavning,locale-langpack/unity,po/locale-langpack/unity.po,81,Allows using the mouse scrollwheel to focus an application if the icon is inactive.,Tilllåter musens rullhjul att sätta ett program i fokus om ikonen är inaktiv.,Tillåter musens rullhjul att sätta ett program i fokus om ikonen är inaktiv.,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F047,P3,Stavning,locale-langpack/unity,po/locale-langpack/unity.po,814,The color of the shadows for the inactive windows.,Skugggfärg på de inaktiva fönstren.,Skuggfärg på de inaktiva fönstren.,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F048,P3,Stavning,locale-langpack/xz-man,po/locale-langpack/xz-man.po,1120,"Future versions may add new line types and new columns can be added to the existing line types, but the existing columns won't be changed.","Framtida versioner kan lägga till fler radtyper och fler kolumner kan läggas til på de befintliga radtyperna, men de befintliga kolumnerna kommmer inte ändras.","Framtida versioner kan lägga till fler radtyper och fler kolumner kan läggas til på de befintliga radtyperna, men de befintliga kolumnerna kommer inte ändras.",Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F049,P3,Språk,locale/OpenSP,po/locale/OpenSP.po,646,character %1 is not significant in the reference concrete syntax and so cannot occur in a comment in the SGML declaration,tecknet %1 är ej signifikant i den konkreta referenssyntaxen och får därför därför ej förekomma i en kommentar i SGML-deklarationen,tecknet %1 är ej signifikant i den konkreta referenssyntaxen och får därför ej förekomma i en kommentar i SGML-deklarationen,Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
F050,P3,Språk,locale/dpkg,po/locale/dpkg.po,133,"  %s provides %s but is %s.
","%s tillhandahåller %s men men är %s.
","%s tillhandahåller %s men är %s.
",Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
F051,P3,Språk,locale/dpkg,po/locale/dpkg.po,2424,cannot set security execution context for maintainer script,kan inte sätta säkerhetsexekveringssammanhang för för utvecklarskript,kan inte sätta säkerhetsexekveringssammanhang för utvecklarskript,Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
F052,P3,Språk,locale/gnome-builder,po/locale/gnome-builder.po,2868,Quickly access your projects,Kom snabbt åt dina dina projekt,Kom snabbt åt dina projekt,Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
F053,P3,Språk,locale-langpack/snappy,po/locale-langpack/snappy.po,2749,"Display absolute times (in RFC 3339 format). Otherwise, display relative times up to 60 days, then YYYY-MM-DD.","Visa absoluta tider (i formatet RFC 3339). Visa annars relative tider till till 60 dagar, sedan ÅÅÅÅ-MM-DD.","Visa absoluta tider (i formatet RFC 3339). Visa annars relativa tider upp till 60 dagar, sedan ÅÅÅÅ-MM-DD.",Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
F054,P3,Språk,locale-langpack/xfsprogs,po/locale-langpack/xfsprogs.po,5717,"ALERT: The filesystem has valuable metadata changes in a log which is being
ignored because the -n option was used.  Expect spurious inconsistencies
which may be resolved by first mounting the filesystem to replay the log.
","VARNING: Filsystemet har värdefulla metadataändringar i en logg som ignoreras
ignoreras eftersom flaggan -n användes.  Förvänta dig falska inkonsekvenser
som kan lösas genom att först montera filsystemet för att spela upp loggen igen.
","VARNING: Filsystemet har värdefulla metadataändringar i en logg som ignoreras eftersom flaggan -n användes.  Förvänta dig falska inkonsekvenser
som kan lösas genom att först montera filsystemet för att spela upp loggen igen.
",Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
F055,P3,Språk,locale-langpack/xfsprogs,po/locale-langpack/xfsprogs.po,6391,"ERROR: The log head and/or tail cannot be discovered. Attempt to mount the
filesystem to replay the log or use the -L option to destroy the log and
attempt a repair.
","FEL: Loggens huvud och/eller svans kan inte hittas. Försök att montera filsystemet
filsystemet för att spela upp loggen igen eller använd flaggan -L för att förstöra loggen och
försöka reparera den.
","FEL: Loggens huvud och/eller svans kan inte hittas. Försök att montera filsystemet för att spela upp loggen igen eller använd flaggan -L för att förstöra loggen och
försöka reparera den.
",Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
F056,P3,Språk,locale-langpack/xz-man,po/locale-langpack/xz-man.po,1651,"Stability.  0 is alpha, 1 is beta, and 2 is stable.  I<S> should be always 2 when I<YYY> is even.","Stabilitet.  0 är alfa, 1 beta beta och 2 är stabil. I<S> skall alltid vara 2 när I<YYY> är jämnt.","Stabilitet.  0 är alfa, 1 är beta och 2 är stabil. I<S> skall alltid vara 2 när I<YYY> är jämnt.",Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
F057,P3,Språk,locale-langpack/xz-man,po/locale-langpack/xz-man.po,1837,"These are like B<-6> but with higher compressor and decompressor memory requirements.  These are useful only when compressing files bigger than 8\ MiB, 16\ MiB, and 32\ MiB, respectively.","Dessa liknar B<-6> med med högre krav på minne till komprimerare och dekomprimerare. Dessa är bara användbara vid komprimering av filer större än 8\ MiB, 16\ MiB respektive 32\ MiB.","Dessa liknar B<-6> men med högre krav på minne till komprimerare och dekomprimerare. Dessa är bara användbara vid komprimering av filer större än 8\ MiB, 16\ MiB respektive 32\ MiB.",Upprepningen är ett skrivfel i denna mening och har inte stöd i källtexten.
